product_name,sales,quantity,profit,avg_discount,avg_ship_days,orders,growth,margin,stability_score
"""While you Were Out"" Message Book, One Form per Page",25.22,8,10.39,0.13333333333333333,4.333333333333333,3,0.0,0.41197462331482954,4.540540540540539
"#10 Gummed Flap White Envelopes, 100/Box",41.3,11,16.77,0.1,5.75,4,-60.01,0.4060532687651332,48.54054054054055
#10 Self-Seal White Envelopes,108.68,10,52.120000000000005,0.05,4.25,4,-74.36,0.479573058520427,16.216216216216218
"#10 White Business Envelopes,4 1/8 x 9 1/2",488.90999999999997,32,223.12,0.05714285714285715,4.285714285714286,7,-64.0,0.4563621116360885,69.35135135135135
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",286.67,37,115.3,0.08,4.6,10,0.0,0.4022046255276101,68.91891891891892
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",146.69,21,64.86,0.07500000000000001,3.5,8,340.01,0.4421569295793851,32.05405405405405
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",176.29,13,63.75,0.1,4.5,2,0.0,0.36162005785920925,28.540540540540537
#6 3/4 Gummed Flap White Envelopes,71.28,9,24.94,0.2,4.25,4,0.0,0.3498877665544332,26.864864864864867
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,14,578.6800000000001,0.06666666666666667,4.166666666666667,6,-26.67,0.2138443800626737,67.89189189189189
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",49.980000000000004,7,22.71,0.1,2.5,2,0.0,0.4543817527010804,11.16216216216216
12 Colored Short Pencils,18.2,8,3.02,0.13333333333333333,3.0,3,87.5,0.16593406593406596,73.51351351351352
12-1/2 Diameter Round Wall Clock,551.46,36,91.10000000000001,0.27499999999999997,3.5,8,128.57,0.1651978384651652,85.35135135135134
14-7/8 x 11 Blue Bar Computer Printout Paper,422.76,10,172.94,0.1,3.75,4,240.01,0.4090737061216766,17.891891891891888
2300 Heavy-Duty Transfer File Systems by Perma,344.72,16,20.98,0.1,3.5,4,0.0,0.06086098862845207,52.486486486486484
