,Order Month,total_sales,total_profit,total_order
0,2015-01,14236.9,2450.17,79
1,2015-02,4519.92,862.3,46
2,2015-03,55691.04,498.69,157
3,2015-04,28013.98,3500.88,134
4,2015-05,23648.27,2738.73,122
5,2015-06,34595.13,4976.55,135
6,2015-07,33946.37,-841.49,143
7,2015-08,27909.47,5318.07,153
8,2015-09,81777.32,8328.05,268
9,2015-10,31453.37,3448.2,159
10,2015-11,78628.73,9292.12,318
11,2015-12,69545.64,8983.56,278
12,2016-01,18174.08,-3280.97,58
13,2016-02,11951.4,2813.83,64
14,2016-03,38726.26,9732.05,138
15,2016-04,34195.24,4187.52,160
16,2016-05,30131.72,4667.82,146
17,2016-06,24797.3,3335.53,138
18,2016-07,28675.25,3247.22,139
19,2016-08,36898.31,5355.8,159
20,2016-09,64595.87,8209.13,293
21,2016-10,31404.9,2817.34,166
22,2016-11,75972.49,12474.74,324
23,2016-12,74919.51,8016.86,316
24,2017-01,18542.52,2824.81,89
25,2017-02,22978.82,5004.57,83
26,2017-03,51670.16,3590.93,162
27,2017-04,38458.06,2923.1,169
28,2017-05,56987.75,8662.07,225
29,2017-06,40344.52,4750.33,199
30,2017-07,39261.98,4432.81,201
31,2017-08,31115.34,2062.02,176
32,2017-09,73360.95,9305.49,362
33,2017-10,59687.8,16243.2,196
34,2017-11,79412.03,4011.35,370
35,2017-12,96712.67,17802.18,351
36,2018-01,43971.37,7140.43,155
37,2018-02,20301.12,1613.87,107
38,2018-03,58872.35,14751.85,238
39,2018-04,36521.52,933.25,203
40,2018-05,44261.08,6342.59,242
41,2018-06,52981.7,8223.36,245
42,2018-07,45264.42,6952.58,226
43,2018-08,63120.85,9041.03,218
44,2018-09,87866.65,10991.46,459
45,2018-10,77776.93,9275.3,298
46,2018-11,117903.42,9532.21,458
47,2018-12,83726.97,8469.2,461
